"ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_depto_ubicacion","cole_genero","cole_jornada","cole_naturaleza","fami_educacionmadre","fami_educacionpadre","estu_genero","fami_estratovivienda","fami_personashogar","fami_cuartoshogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Técnica o tecnológica completa","M","Estrato 2","3 a 4","Tres","No","No","Si","52.0","49.0","47","46","54","246"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Técnica o tecnológica completa","M","Estrato 2","3 a 4","Tres","No","No","Si","52.0","49.0","47","46","54","246"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","OFICIAL","Primaria completa","Primaria completa","M","Estrato 2","Seis","Cuatro","Si","Si","Si","39.0","61.0",,,,
"URBANO","N","B","TÉCNICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","M","Estrato 3","Tres","Dos","Si","Si","Si","55.95","54.77",,,,
"URBANO","N","A","ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 3","Cuatro","Tres","No","Si","Si","68.0","52.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica incompleta","Educación profesional completa","F","Estrato 1","1 a 2","Dos","No","Si","Si","43.0","63.0","43","57","67","282"
"URBANO","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica incompleta","Educación profesional completa","F","Estrato 1","1 a 2","Dos","No","Si","Si","43.0","63.0","43","57","67","282"
"URBANO","","A","NO APLICA","NORTE SANTANDER","MIXTO","NOCHE","NO OFICIAL","Educación profesional completa","Primaria completa","M","Estrato 2","Cinco","Cuatro","No","Si","Si","41.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","VALLE","MIXTO","TARDE","OFICIAL","Educación profesional incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 3","Seis","Cuatro","No","Si","No","50.0","52.0",,,,
"RURAL","N","A","ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","M","Estrato 2","Ocho","Cinco","No","Si","Si","46.0","62.0","57","56","56","284"
"URBANO","","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","F","Estrato 3","3 a 4","Dos","Si","Si","Si","55.0","56.0","61","56","68","299"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","No sabe","No sabe","M","Estrato 3","Cuatro","Tres","Si","Si","Si","68.41","74.62",,,,
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","COMPLETA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Tres","Dos","No","Si","No","51.0","60.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","SABATINA","OFICIAL","Primaria completa","Educación profesional completa","F","Estrato 2","Cinco","Cuatro","No","Si","Si","41.0","27.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Ninguno","Ninguno","F","Estrato 2","Cuatro","Tres","No","No","No","43.0","40.0","32","40","32","183"
"URBANO","S","B","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Postgrado","Postgrado","M","Estrato 5","3 a 4","Tres","Si","Si","Si","91.0","82.0","68","70","72","372"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","TARDE","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 3","Tres","Tres","No","Si","Si","39.0","22.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA"," D.C.""","Cuatro","Ninguno","28/08/1995","Ninguno","Estrato 3","N","Cinco","No","Si",,"45.0","57",,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOYACA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 1","Seis","Cuatro","No","No","No","46.0","52.0","49","48","49","246"
"URBANO","","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","M","Estrato 3","Cuatro","Dos","No","Si","Si","40.0","43.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","Cuatro","Dos","No","No","No","39.0","35.0",,,,
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","COMPLETA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","M","Estrato 2","3 a 4","Tres","No","Si","Si","62.0","63.0","66","66","60","318"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Postgrado","Educación profesional completa","F","Estrato 4","3 a 4","Dos","Si","Si","Si","84.0","73.0","75","72","80","378"
"URBANO","N","A","ACADÉMICO","BOLIVAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 1","Seis","Tres","No","No","No","43.0","67.0","46","60","48","272"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","SABATINA","OFICIAL","Primaria completa","Primaria incompleta","M","Estrato 4","5 a 6","Cuatro","No","No","No","39.0","45.0","35","42","40","202"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","SABATINA","OFICIAL","Primaria completa","Primaria incompleta","M","Estrato 4","5 a 6","Cuatro","No","No","No","39.0","45.0","35","42","40","202"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","TARDE","NO OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","M","Estrato 1","Cinco","Dos","No","No","No","41.0","64.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","MAGDALENA","MIXTO","SABATINA","NO OFICIAL","Primaria completa","Primaria completa","M","Estrato 1","Tres","Uno","No","No","No","43.11","42.46",,,,
"URBANO","N","","","NORTE SANTANDER","MIXTO","NOCHE","OFICIAL","Primaria incompleta","No sabe","M","Estrato 1","Nueve","Tres","No","No","No","38.53","53.16",,,,
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","UNICA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 2","7 a 8","Tres","Si","Si","Si","41.0","43.0","38","39","44","205"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","UNICA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 2","7 a 8","Tres","Si","Si","Si","41.0","43.0","38","39","44","205"
"RURAL","N","A","ACADÉMICO","SUCRE","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Ninguno","F","Estrato 1","Seis","Dos","No","No","No","52.0","31.0","54","47","46","225"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 1","Cuatro","Tres","No","Si","Si","48.0","38.0","36","37","42","195"
"URBANO","N","A","ACADÉMICO","BOLIVAR","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","F","Estrato 2","Seis","Tres","Si","Si","Si","65.0","60.0","66","57","60","305"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Primaria incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","5 a 6","Cinco","Si","Si","Si","56.0","47.0","32","44","54","226"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Primaria incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","5 a 6","Cinco","Si","Si","Si","56.0","47.0","32","44","54","226"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","NO OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 3","Cuatro","Dos","No","No","No","30.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","NO OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 3","Cuatro","Dos","No","No","No","30.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","NO OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 3","Cuatro","Dos","No","No","No","30.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","M","Estrato 1","Tres","Dos","No","No","No","51.0","28.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOYACA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Postgrado","M","Estrato 3","Cuatro","Tres","No","Si","No","49.66","50.67",,,,
"RURAL","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","NO OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","F","Estrato 3","Seis","Tres","Si","Si","Si","54.0","34.0",,,,
"RURAL","","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria incompleta","M","Estrato 1","Tres","Cuatro","No","Si","No","41.0","34.0","44","40","38","196"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 2","3 a 4","Tres","No","Si","No","35.0","32.0","31","36","34","167"
"RURAL","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","Cuatro","Tres","Si","Si","Si","72.0","69.0","63","64","64","327"
"URBANO","N","A","ACADÉMICO","CALDAS","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","F","Estrato 1","Cinco","Tres","No","Si","No","42.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","NORTE SANTANDER","MIXTO","TARDE","OFICIAL","Primaria completa","No sabe","F","Estrato 2","Dos","Dos","No","No","No","39.0","48.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Cuatro","Dos","No","No","No","38.53","39.12",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Seis","Dos","No","Si","No","36.0","41.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","QUINDIO","MIXTO","NOCHE","OFICIAL","Ninguno","Primaria incompleta","F","Estrato 1","Cinco","Dos","No","No","No","43.53","39.12",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","NO OFICIAL","Postgrado","Educación profesional incompleta","F","Estrato 3","Cuatro","Tres","No","Si","Si","73.0","60.0","60","60","60","305"
"URBANO","","A","ACADÉMICO","MAGDALENA","MIXTO","MAÑANA","NO OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","M","Estrato 3","Cuatro","Tres","Si","Si","Si","41.0","47.0","38","45","47","220"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","TARDE","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 3","Seis","Cuatro","No","Si","Si","48.0","42.0","31","17","43","172"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","M","Estrato 2","9 o más","Dos","Si","Si","No","52.0","62.0","67","58","63","308"
"RURAL","","A","ACADÉMICO","ANTIOQUIA","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Siete","Tres","No","No","No","46.0","35.0","53","45","63","244"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 2","Seis","Cuatro","No","Si","Si","43.0","54.0","53","52","53","261"
"RURAL","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 3","Siete","Cuatro","Si","Si","No","67.0","38.0","41","49","45","226"
"RURAL","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","F","Estrato 1","Tres","Dos","No","No","No","36.0","52.0",,,,
"RURAL","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","F","Estrato 1","Tres","Dos","No","No","No","36.0","52.0",,,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cinco","Tres","No","Si","No","41.0","43.0",,,,
"RURAL","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","UNICA","OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 3","5 a 6","Cinco","Si","Si","Si","45.0","36.0","26","26","35","159"
"RURAL","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","UNICA","OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 3","5 a 6","Cinco","Si","Si","Si","45.0","36.0","26","26","35","159"
"URBANO","N","B","TÉCNICO/ACADÉMICO","VALLE","MIXTO","SABATINA","NO OFICIAL","","","M","","1 a 2","Uno","No","Si","","50.0","66.0","56","56","60","294"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Tres","No","Si","Si","56.0","58.0","59","60","60","295"
"RURAL","","A","TÉCNICO/ACADÉMICO","CAUCA","MIXTO","UNICA","OFICIAL","Técnica o tecnológica completa","Primaria completa","F","Sin Estrato","5 a 6","Cuatro","No","No","No","48.0","41.0","36","47","42","210"
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","3 a 4","Dos","No","No","Si","52.0","60.0","52","52","54","272"
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","3 a 4","Dos","No","No","Si","52.0","60.0","52","52","54","272"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","F","Estrato 2","Cinco","Tres","No","No","No","43.0","52.0","44","50","44","236"
"URBANO","N","A","ACADÉMICO","BOLIVAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 1","Siete","Dos","No","No","No","46.0","44.0","40","44","51","224"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","SABATINA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Cuatro","Dos","No","Si","Si","49.0","50.0","57","62","55","277"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Educación profesional completa","F","Estrato 3","Cinco","Cinco","Si","Si","Si","47.0","43.0","46","52","46","233"
"RURAL","N","A","ACADÉMICO","ARAUCA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 1","Seis","Seis","No","No","No","49.0","38.0","38","43","38","200"
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Sin Estrato","5 a 6","","No","No","No","34.0","49.0","50","54","57","255"
"URBANO","N","A","TÉCNICO/ACADÉMICO","QUINDIO","MIXTO","MAÑANA","OFICIAL","No sabe","No sabe","F","Estrato 1","Cinco","Tres","No","Si","No","45.0","41.0","52","46","49","234"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","5 a 6","Cuatro","No","No","Si","49.0","56.0","34","48","59","246"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","5 a 6","Cuatro","No","No","Si","49.0","56.0","34","48","59","246"
"URBANO","N","A","ACADÉMICO","BOGOTA","MASCULINO","COMPLETA"," D.C.""","Tres","Secundaria (Bachillerato) incompleta","22/04/1997","Postgrado","Estrato 4","N","Dos","No","Si",,"94.0","63",,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOLIVAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Ninguno","M","Estrato 1","Seis","Dos","No","No","No","42.0","47.0",,,,
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","Cuatro","Dos","No","No","No","40.0","42.0","36","35","38","190"
"RURAL","N","A","ACADÉMICO","META","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","F","Estrato 1","Cinco","Tres","No","No","No","49.0","47.0","47","43","50","235"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA"," D.C.""","Seis","Secundaria (Bachillerato) completa","29/09/1996","Secundaria (Bachillerato) completa","Estrato 3","N","Seis","Si","Si",,"39.0","40",,,
"RURAL","N","A","ACADÉMICO","ARAUCA","MIXTO","SABATINA","OFICIAL","Primaria completa","Primaria incompleta","F","Estrato 1","5 a 6","Tres","No","No","No","43.0","57.0","66","57","57","290"
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Postgrado","F","Estrato 3","Cuatro","Tres","No","Si","Si","53.0","35.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","3 a 4","Dos","Si","Si","Si","66.0","70.0","71","64","67","339"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","3 a 4","Dos","Si","Si","Si","66.0","70.0","71","64","67","339"
"URBANO","S","B","ACADÉMICO","VALLE","MIXTO","COMPLETA","NO OFICIAL","Postgrado","Postgrado","M","Estrato 5","Tres","Dos","Si","Si","Si","90.0","100.0","98","84","77","449"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Ninguno","F","Estrato 2","Siete","Siete","No","No","No","40.0","49.0",,,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","M","Estrato 4","Cuatro","Tres","No","Si","Si","80.0","60.0",,,,
"URBANO","","A","ACADÉMICO","TOLIMA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","5 a 6","Cuatro","Si","Si","Si","31.0","36.0","43","47","43","207"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","SABATINA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Seis","Cinco","No","Si","No","45.0","41.0","44","42","44","215"
"RURAL","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","F","Estrato 1","7 a 8","Tres","No","Si","Si","43.0","42.0","41","36","41","201"
"RURAL","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","F","Estrato 1","7 a 8","Tres","No","Si","Si","43.0","42.0","41","36","41","201"
"RURAL","N","A","ACADÉMICO","NARIÑO","MIXTO","NOCHE","OFICIAL","Primaria completa","No sabe","F","Estrato 1","Cinco","Cuatro","No","No","No","39.0","42.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","F","","Cuatro","Dos","No","No","No","34.0","32.0",,,,
"URBANO","N","A","TÉCNICO","VALLE","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 2","Tres","Tres","No","Si","No","46.0","75.0","55","50","62","298"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 2","Cuatro","Tres","No","Si","Si","59.0","56.0","60","63","61","299"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","No sabe","Secundaria (Bachillerato) incompleta","F","Estrato 2","Cinco","Tres","Si","Si","Si","43.0","49.0",,,,
"URBANO","N","B","TÉCNICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","M","Estrato 3","Cuatro","Dos","Si","Si","Si","46.0","55.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Seis","Tres","No","No","No","35.31","45.38",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOYACA","MIXTO","UNICA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","5 a 6","Cuatro","No","No","No","57.0","60.0","59","59","56","292"
"URBANO","N","A","ACADÉMICO","BOYACA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 4","Cuatro","Tres","Si","Si","Si","57.0","52.0","62","61","54","286"
"URBANO","","A","TÉCNICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Siete","Dos","No","No","No","39.0","27.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","NARIÑO","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Cuatro","Uno","No","No","No","48.86","42.46",,,,
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","M","Estrato 3","Dos","Tres","No","Si","No","49.0","62.0","62","47","58","283"
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","COMPLETA","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 1","Tres","Dos","No","No","No","45.0","49.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Técnica o tecnológica incompleta","Técnica o tecnológica incompleta","M","Estrato 3","3 a 4","Tres","Si","Si","Si","44.0","50.0","43","41","45","223"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","F","Estrato 2","3 a 4","Tres","No","Si","Si","56.0","50.0","60","57","57","280"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","F","Estrato 2","3 a 4","Tres","No","Si","Si","56.0","50.0","60","57","57","280"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","FEMENINO","COMPLETA","OFICIAL","Primaria completa","Secundaria (Bachillerato) completa","F","Estrato 2","Tres","Dos","Si","Si","No","58.0","48.0","57","50","63","274"
"URBANO","N","A","TÉCNICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","Tres","Tres","No","No","No","63.0","90.0",,,,
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 3","Cuatro","Cuatro","No","No","No","40.0","52.0",,,,
"RURAL","N","A","TÉCNICO/ACADÉMICO","CESAR","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","F","Estrato 1","Cuatro","Tres","No","Si","Si","38.0","30.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","META","MIXTO","COMPLETA","OFICIAL","Técnica o tecnológica incompleta","Primaria completa","M","Estrato 3","Seis","Tres","No","No","No","54.45","48.09",,,,
"URBANO","","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","F","Estrato 3","Tres","Dos","Si","Si","Si","71.0","63.0","63","57","66","315"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 2","Seis","Tres","Si","Si","Si","42.0","39.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTA","MIXTO","NOCHE","OFICIAL","Primaria completa","Primaria completa","F","Estrato 2","Seis","Dos","No","No","No","38.0","54.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","MAGDALENA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 1","Cinco","Dos","No","Si","Si","38.0","46.0","46","41","43","218"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","SABATINA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 1","5 a 6","Dos","No","No","Si","41.0","48.0","36","42","46","214"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","SABATINA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 1","5 a 6","Dos","No","No","Si","41.0","48.0","36","42","46","214"
