"periodo","departamento","codigo_departamento","puntaje_ingles","max_p_ingles","min_p_ingles","std_ingles","puntaje_mate","max_p_mate","min_p_mate","std_mate","puntaje_soc","max_p_soc","min_p_soc","std_soc","puntaje_nat","max_p_nat","min_p_nat","std_nat","puntaje_lec","max_p_lec","min_p_lec","std_lec","puntaje_global","max_p_global","min_p_global","std_global"
"20194","SANTANDER","68","50.99522348646654","100.0","0.0","12.624498795786398","55.04745446778766","100.0","16.0","12.086129373708088","49.38153858102598","100","18","12.589292936171667","51.96132189041202","100","20","11.128435641530524","55.071997203992076","100","0","10.475539050429422","263.6113548988389","448","101","52.471236623466126"
"20142","MAGDALENA","47","46.66341754525562","100.0","0.0","7.786940316113812","45.85498309130694","92.0","0.0","8.529072796030796","45.558915191300315","88","0","9.439890470006072","45.5315297394072","89","0","8.893472323792647","45.55487036668656","91","0","9.388691928348457","228.52436841058287","415","0","37.127648557926776"
"20151","META","50","45.505982905982904","76.0","0.0","6.297182053488353","45.76239316239316","76.0","0.0","8.40661561175416","45.364102564102566","100","9","10.97798592278973","43.74017094017094","81","19","10.537807502371201","46.3982905982906","73","18","7.158934246010065","226.63418803418804","391","85","36.04548392474002"
"20142","VAUPES","97","47.09748427672956","71.0","27.0","5.75689902600793","44.729559748427675","72.0","12.0","8.673674252712065","45.31132075471698","78","24","9.314040695963609","46.191823899371066","77","20","8.673048056680905","42.61635220125786","70","26","8.471737196766874","224.46226415094338","352","152","35.371888496429214"
"20151","GUAINIA","94","44.76923076923077","53.0","38.0","4.657500154837108","42.84615384615385","55.0","39.0","4.669870694964937","44.30769230769231","54","31","8.097166329284745","41.92307692307692","51","30","6.473813127535919","39.84615384615385","47","30","4.669870694964938","212.15384615384616","240","192","15.071198546931345"
"20162","VALLE","76","51.04326783467234","100.0","0.0","10.683432349438855","49.368033496967946","100.0","0.0","10.976569368340893","49.69571181056887","100","22","10.297141449320028","51.66796611800943","100","0","9.345150595156976","52.1792520935605","100","0","9.403355567285548","252.67501684473962","429","29","47.110901474295815"
"20172","CASANARE","85","48.78329255505068","100.0","0.0","10.425883804122169","50.85092624956309","100.0","18.0","11.531841421047869","49.98497029010835","100","21","10.51730254204338","51.62111149947571","100","0","9.395378053946983","52.60031457532332","82","27","9.245424511534914","255.36927647675637","452","127","45.27354123421473"
"20151","CESAR","20","52.28915662650602","100.0","0.0","17.811831355986598","47.006024096385545","92.0","21.0","13.111409321633424","46.30120481927711","86","11","14.410210975478286","45.174698795180724","87","19","15.391444639491903","47.33734939759036","85","27","10.740777138447083","234.5421686746988","422","137","62.79882284262868"
"20194","BOGOTÁ","11","54.13116117600261","100.0","0.0","12.58960630311595","54.615774057064336","100.0","16.0","11.28507327516244","50.27364119625357","100","16","11.85664632065921","51.84603237743946","100","0","10.187649966283715","55.58671150809436","100","0","9.716903881765514","265.8074108897166","477","75","48.71986649257551"
"20194","LA GUAJIRA","44","41.747226624405705","100.0","0.0","10.39259109860086","44.67832484436899","83.0","0.0","11.261662315698276","40.57419354838709","100","0","10.887090326000209","42.97385398981324","81","0","9.784241895511329","46.873118279569894","81","0","10.407470453241244","218.093831352575","419","11","46.60417578635438"
"20162","SANTANDER","68","53.328882589885126","100.0","0.0","12.198668007189037","53.87222139340594","100.0","21.0","12.162407007371735","52.39702372072207","84","22","11.013720005745515","55.0769058630464","100","25","10.026040132556654","54.54285394599433","100","0","10.155803460048823","269.61077129643445","458","136","49.72206516700264"
"20201","CUNDINAMARCA","25","66.67547169811321","100.0","0.0","19.42964748477385","58.47408105560792","100.0","20.0","13.594065618032968","55.566446748350614","100","20","14.213883908303115","55.93025447690858","100","24","12.643770889005818","59.36663524976437","100","27","11.687050521589708","290.2525918944392","468","134","62.6398684407602"
"20224","NARIÑO","52","48.174175824175826","100.0","0.0","12.118512023824492","50.81931369571819","100.0","0.0","12.625145557894712","47.02708776191922","83","0","11.837342745720996","49.29341026419678","100","0","10.600293122363961","51.80583054965077","100","0","10.927250092050578","248.06735499544487","472","12","52.56306942446579"
"20162","PUTUMAYO","86","48.63813675998164","83.0","0.0","10.053498639904845","48.67783386874713","100.0","21.0","11.660601622265819","47.90798531436439","80","22","9.959178812713828","51.1977971546581","100","26","9.207768058638626","50.60142267094998","80","28","9.284262898421437","247.5885727397889","427","143","44.58146298715849"
"20171","ATLANTICO","8","79.85094066570188","100.0","32.0","10.938142735637067","65.28654124457309","100.0","28.0","10.205232022270188","64.18668596237337","100","23","9.719315708516577","65.62083936324169","100","30","9.837569211451598","64.78581765557163","100","37","7.973170683204637","330.5658465991317","450","180","41.03412778954729"
"20211","LA GUAJIRA","44","77.64583333333333","100.0","34.0","14.455345154858781","62.75","100.0","31.0","13.924568827122675","60.166666666666664","81","26","14.008103024842796","58.916666666666664","77","35","11.163834720818777","62.604166666666664","78","31","10.775740253652387","311.8958333333333","391","170","58.63055611137487"
"20142","BOLIVAR","13","47.819563888322804","100.0","0.0","8.967515193244889","47.38579920201938","100.0","0.0","9.446917793775702","46.56729907987949","93","0","9.997982888906611","46.48000977119127","93","0","9.55815673636737","46.51005618434981","100","0","10.069017996409263","233.88901555247944","448","0","41.74832816362982"
"20181","SANTANDER","68","61.01372549019608","100.0","0.0","21.72089900710723","58.16274509803922","100.0","19.0","20.840468611305905","56.98235294117647","100","22","17.74191983421397","58.13725490196079","100","26","19.20422719494165","59.21568627450981","100","29","15.05329592128971","291.74313725490197","475","146","88.10512731780386"
"20162","SAN ANDRES","88","57.565537555228275","100.0","31.0","13.570901630332665","47.72459499263623","85.0","24.0","11.323709643656503","47.89248895434462","83","24","11.379168443890588","48.1620029455081","81","25","10.188936367495693","51.337260677466865","81","28","9.700360917232533","247.29896907216494","391","153","47.7246636867078"
"20161","CESAR","20","83.57142857142857","100.0","60.0","10.307806317550762","71.73809523809524","100.0","48.0","14.773178603113447","69.54761904761905","100","39","12.293568377858877","70.85714285714286","93","54","10.079129435333988","62.523809523809526","88","50","6.840475290996698","349.07142857142856","465","268","47.491407621899434"
"20172","SUCRE","70","47.327369118621604","100.0","26.0","10.48154146007475","47.896146927956075","100.0","17.0","12.023713681746663","48.216415790968476","100","19","11.085290494935837","50.43841711634952","100","25","10.164220089968591","51.48433210262236","100","0","9.929252470669699","246.7036826659093","476","128","48.375476813512634"
"20152","BOGOTA","11","54.69291347328668","100.0","0.0","12.777662882895049","54.299535792817004","100.0","2.0","12.204431005203219","53.58100304288919","100","3","10.688805872454244","53.971547875530284","100","0","9.809019288946732","52.96717233414033","100","0","9.316593923338415","268.86324767341137","478","44","47.26595637141713"
"20142","CAUCA","19","46.77885104219624","100.0","0.0","6.8790053644510545","46.53388045609703","95.0","0.0","8.835462708650095","47.27133415643838","100","0","9.249268920618379","47.22361827293195","88","0","8.650555426717185","46.00784370687777","92","0","8.97282339190334","233.80434308954898","416","0","36.421575363609904"
